Element, data.x, data.y, data.z, data.w
0, 3F800000, 00000000, 00000000, 00000000
1, 00000000, 3F245B9C, BF444580, 00000000
2, 00000000, 3F444580, 3F245B9C, 00000000
3, BEE0C49C, 3F09FBE7, 3EE147AE, 3F800000
4, 3F800000, 00000000, 80000000, 00000000
5, 80000000, 3F245B9C, 3F444581, 00000000
6, 00000000, BF444581, 3F245B9C, 00000000
7, 3EE0C49C, BC0EAEC0, BF321B98, 3F800000
8, 00000000, 00000000, FFFEEC36, 00000000
9, 00000000, 00000000, 00000000, 3F800000
10, C936B440, 00007FFC, 00000001, 00000000
11, 00000000, 00000000, 00000000, 00000000
12, 00000000, 00000000, 00000000, 00000000
13, 00000000, 00000000, 00000000, 00000000
14, 00000000, 00000000, 00000000, 00000000
15, 00000000, 00000000, 00000000, 00000000
16, 3F800000, 00000000, 00000000, 00000000
17, 00000000, 3F245B9C, BF444580, 00000000
18, 00000000, 3F444580, 3F245B9C, 00000000
19, 3EE1CAC1, 3F09FBE7, 3EE147AE, 3F800000
20, 3F800000, 00000000, 80000000, 00000000
21, 80000000, 3F245B9C, 3F444581, 00000000
22, 00000000, BF444581, 3F245B9C, 00000000
23, BEE1CAC1, BC0EAEC0, BF321B98, 3F800000
24, 00000000, 00000000, FFFEEB60, 00000000
25, 00000000, 00000000, 00000000, 3F800000
26, 00000000, 00000000, 00000000, 00000000
27, 00000000, 00000000, 00000000, 00000000
28, 00000000, 00000000, 00000000, 00000000
29, 00000000, 00000000, 00000000, 00000000
30, 00000000, 00000000, 00000000, 00000000
31, 00000000, 00000000, 00000000, 00000000
32, 3F800000, 00000000, 00000000, 00000000
33, 00000000, 3F245B9C, BF444580, 00000000
34, 00000000, 3F444580, 3F245B9C, 00000000
35, BEE0C49C, 3F09FBE7, BF0AC083, 3F800000
36, 3F800000, 00000000, 80000000, 00000000
37, 80000000, 3F245B9C, 3F444581, 00000000
38, 00000000, BF444581, 3F245B9C, 00000000
39, 3EE0C49C, BF42F7D0, BD85AAC4, 3F800000
40, 00000000, 00000000, FFFEED36, 00000000
41, 00000000, 00000000, 00000000, 3F800000
42, 00000000, 00000000, 00000000, 00000000
43, 00000000, 00000000, 00000000, 00000000
44, 00000000, 00000000, 00000000, 00000000
45, 00000000, 00000000, 00000000, 00000000
46, 00000000, 00000000, 00000000, 00000000
47, 00000000, 00000000, 00000000, 00000000
48, 3F800000, 00000000, 00000000, 00000000
49, 00000000, 3F245B9C, BF444580, 00000000
50, 00000000, 3F444580, 3F245B9C, 00000000
51, 3F008312, 3F09FBE7, BF0AC083, 3F800000
52, 3F800000, 00000000, 80000000, 00000000
53, 80000000, 3F245B9C, 3F444581, 00000000
54, 00000000, BF444581, 3F245B9C, 00000000
55, BF008312, BF42F7D0, BD85AAC4, 3F800000
56, 00000000, 00000000, 000050B6, 00000000
57, 00000000, 00000000, 00000000, 3F800000
58, 00000000, 00000000, 00000000, 00000000
59, 00000000, 00000000, 00000000, 00000000
60, 00000000, 00000000, 00000000, 00000000
61, 00000000, 00000000, 00000000, 00000000
62, 00000000, 00000000, 00000000, 00000000
63, 00000000, 00000000, 00000000, 00000000
